stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.026689,,0.009597,0.026689,0.5627914,0.5627914,0.5763468,0.862307,1.3005692,right,10,1,1,0.6470662,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
1,2,8,1.309292,,1.3006452,1.309292,1.8110177,1.8110177,1.8110177,2.1112295,2.1630684,left,-8,1,1,0.3377424,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
2,2,6,2.1773151,,2.1632306,2.1773151,2.678294,2.678294,2.678294,2.9929658,3.0951554,left,-6,1,1,0.4034791,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
3,2,4,3.1103182,,3.0953036,3.1103182,3.6092677,3.6092677,3.6258069,3.9094558,4.0980115,right,4,1,1,0.4797087,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
4,1,2,4.1117195,,4.0982695,4.1117195,4.6099056,4.6099056,4.6266373,4.909494,5.3472709,right,2,0,0,0.7277829,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
5,1,3,5.3618846,,5.3474906,5.3618846,5.8600047,5.8600047,5.8763994,6.15961,6.3273526,left,-3,1,1,0.458988,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
6,1,3,6.3426122,,6.3274513,6.3426122,6.8263607,6.8263607,6.8428165,7.1268614,7.2799041,left,-3,1,1,0.4429393,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
7,1,3,7.2943481,,7.280097,7.2943481,7.7938216,7.7938216,7.8103786,8.0937985,8.3764687,right,3,1,1,0.5675013,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
8,1,2,8.3921116,,8.3765553,8.3921116,8.8768294,8.8768294,8.8923041,9.176466,9.2126734,left,-2,1,1,0.3257179,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
9,1,2,9.2281494,,9.2128785,9.2281494,9.7259798,9.7259798,9.742432,10.0262952,10.2472129,left,-2,1,1,0.5165594,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
10,1,2,10.2612775,,10.2474199,10.2612775,10.7601764,10.7601764,10.7766779,11.0600423,11.1775806,left,-2,1,1,0.4016484,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
11,1,1,11.1924484,,11.1777146,11.1924484,11.6926011,11.6926011,11.6926011,11.9919431,12.1772281,left,-1,1,1,0.4732202,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
12,1,1,12.1922609,,12.1773539,12.1922609,12.6918158,12.6918158,12.6918158,12.9913073,13.1095165,left,-1,1,1,0.4155139,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
13,1,1,13.1249916,,13.1095844,13.1249916,13.6088301,13.6088301,13.6254661,13.908445,14.0268761,left,-1,1,1,0.4098544,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
14,1,1,14.0420932,,14.0270068,14.0420932,14.5419127,14.5419127,14.5419127,14.8415321,14.9427298,left,-1,1,1,0.3994452,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
15,0.5,1,14.9584909,,14.9428281,14.9584909,15.4430558,15.4430558,15.4597888,,15.7107417,right,1,0,0,0.259201,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
16,0.5,1.5,15.7254266,,15.710887,15.7254266,16.2098322,16.2098322,16.2255919,16.5250087,16.5771924,right,1.5,0,0,0.3569236,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
17,0.5,2,16.5922508,,16.5773341,16.5922508,17.0916936,17.0916936,17.0916936,17.3912058,17.4256847,left,-2,1,1,0.3244874,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
18,0.5,2,17.4415076,,17.4257769,17.4415076,17.9256045,17.9256045,17.9419275,18.2263934,18.2622764,left,-2,1,1,0.3190039,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
19,0.5,2,18.2768036,,18.262519,18.2768036,18.7762033,18.7762033,18.7762033,,19.010948,left,-2,1,1,0.2328777,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
20,0.5,1.5,19.0254,,19.0110943,19.0254,19.5249426,19.5249426,19.5249426,19.826937,19.8472368,left,-1.5,1,1,0.3141257,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
21,0.5,1.5,19.8603559,,19.8474796,19.8603559,20.358055,20.358055,20.3746361,20.6575472,20.6425577,right,1.5,0,0,0.2815564,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
22,0.5,2,20.6575472,,20.642662,20.6575472,21.1576894,21.1576894,21.1576894,21.4575848,21.5603096,left,-2,1,1,0.3986971,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
23,0.5,2,21.5746191,,21.5604476,21.5746191,22.0746236,22.0746236,22.0746236,22.3749523,22.4265425,right,2,0,0,0.3420123,243730,1,2024-09-12_18h04.12.170,staircase_exp3,2024.1.5,None,2024-09-12 18h04.17.922785 +0530
