stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.035908699966967106,,0.01848129997961223,0.035908699966967106,0.5554122000467032,0.5554122000467032,0.5686384999426082,0.8709290999686345,4.991167700034566,left,-10.0,0,0,4.334844799945131,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
1,1,12.0,5.000865799956955,,4.991252499981783,5.000865799956955,5.501767399953678,5.501767399953678,5.501767399953678,5.801994999987073,7.586155800032429,right,12.0,1,1,2.0755761000327766,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
2,1,11.0,7.602108899969608,,7.586297999951057,7.602108899969608,8.10186449997127,8.10186449997127,8.10186449997127,8.403112899977714,9.121419899980538,right,11.0,1,1,1.0117468000389636,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
3,1,11.0,9.135062200017273,,9.121583299944177,9.135062200017273,9.634609999950044,9.634609999950044,9.634609999950044,9.937367500038818,10.22110970003996,left,-11.0,1,1,0.5772352999774739,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
4,1,11.0,10.235635999939404,,10.221285399980843,10.235635999939404,10.736666599987075,10.736666599987075,10.736666599987075,11.051749699981883,11.204853400005959,right,11.0,1,1,0.45044879999477416,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
5,1,10.0,11.219721299945377,,11.205050399992615,11.219721299945377,11.71742819994688,11.71742819994688,11.734385799965821,12.01750269997865,13.469547700020485,right,10.0,1,1,1.7485559000633657,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
6,1,10.0,13.484625400044024,,13.469674799940549,13.484625400044024,13.984017299953848,13.984017299953848,13.984017299953848,14.286681900033727,14.638189199962653,left,-10.0,1,1,0.6509287001099437,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
7,1,10.0,14.652260500006378,,14.638399499934167,14.652260500006378,15.151135599939153,15.151135599939153,15.167491700034589,15.450963099952787,16.655842800042592,right,10.0,1,1,1.48692850000225,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
8,1,9.0,16.667786699952558,,16.6560055000009,16.667786699952558,17.16752729995642,17.16752729995642,17.16752729995642,17.469752299948595,17.522497699945234,left,-9.0,1,1,0.3444219999946654,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
9,1,9.0,17.53386089997366,,17.522747099981643,17.53386089997366,18.03390030004084,18.03390030004084,18.03390030004084,18.333798500010744,18.505569500033744,left,-9.0,1,1,0.45425349997822195,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
