delay,freq,condition,trials.textbox.text,,,
0.1,1000,exp,456,,,
0.1,1000,exp,234,,exp,528.902027
0.7,1000,exp,678,,unexp,523.5252525
0.1,1000,exp,276,,Binding effect,5.376774502
0.7,1000,exp,847,,,
0.7,1000,exp,475,,,
0.4,1000,exp,465,,,
0.4,1000,exp,918,,,
0.4,1000,exp,987,,,
0.7,1000,exp,870,,,
0.4,1000,exp,450,,,
0.1,1000,exp,364,,,
0.4,1000,exp,183,,,
0.1,1000,exp,273,,,
0.7,1000,exp,484,,,
0.7,1000,exp,200,,,
0.4,1000,exp,500,,,
0.1,1000,exp,800,,,
0.7,1000,exp,467,,,
0.7,1000,exp,569,,,
0.4,1000,exp,298,,,
0.1,1000,exp,293,,,
0.1,1000,exp,173,,,
0.1,1000,exp,298,,,
0.7,1000,exp,290,,,
0.4,1000,exp,273,,,
0.4,1000,exp,577,,,
0.7,1000,exp,385,,,
0.1,1000,exp,394,,,
0.1,1000,exp,857,,,
0.4,1000,exp,867,,,
0.4,1000,exp,857,,,
0.7,1000,exp,586,,,
0.7,1000,exp,87,,,
0.1,1000,exp,988,,,
0.4,1000,exp,263,,,
0.7,1000,exp,273,,,
0.4,1000,exp,163,,,
0.1,1000,exp,465,,,
0.4,1000,exp,667,,,
0.1,1000,exp,998,,,
0.4,1000,exp,300,,,
0.1,1000,exp,648,,,
0.7,1000,exp,739,,,
0.7,1000,exp,475,,,
0.1,1000,exp,645,,,
0.7,1000,exp,647,,,
0.4,1000,exp,374,,,
0.7,1000,exp,647,,,
0.1,1000,exp,364,,,
0.7,1000,exp,746,,,
0.1,1000,exp,746,,,
0.4,1000,exp,755,,,
0.4,1000,exp,736,,,
0.4,1000,exp,465,,,
0.1,1000,exp,100,,,
0.7,1000,exp,400,,,
0.7,1000,exp,626,,,
0.7,1000,exp,748,,,
0.4,1000,exp,723,,,
0.4,1000,exp,626,,,
0.1,1000,exp,"283
",,,
0.1,1000,exp,827,,,
0.4,1000,exp,283,,,
0.7,1000,exp,25,,,
0.4,1000,exp,827,,,
0.7,1000,exp,763,,,
0.4,1000,exp,748,,,
0.1,1000,exp,262,,,
0.1,1000,exp,228,,,
0.1,1000,exp,227,,,
0.7,1000,exp,263,,,
0.1,1000,exp,227,,,
0.4,1000,exp,272,,,
0.4,1000,exp,227,,,
0.1,1000,exp,948,,,
0.7,1000,exp,263,,,
0.7,1000,exp,748,,,
0.4,1000,exp,273,,,
0.7,1000,exp,876,,,
0.1,1000,exp,273,,,
0.7,1000,exp,759,,,
0.7,1000,exp,736,,,
0.4,1000,exp,938,,,
0.7,1000,exp,466,,,
0.4,1000,exp,298,,,
0.1,1000,exp,475,,,
0.1,1000,exp,348,,,
0.1,1000,exp,203,,,
0.4,1000,exp,673,,,
0.1,1000,exp,839,,,
0.1,1000,exp,273,,,
0.1,1000,exp,736,,,
0.4,1000,exp,928,,,
0.7,1000,exp,837,,,
0.4,1000,exp,509,,,
0.4,1000,exp,384,,,
0.7,1000,exp,734,,,
