key_resp.keys,key_resp.corr,key_resp.rt,,,seqRT,ranRT
x,1,0.8072352,,,0.8072352,0.4738039
v,1,0.8983951,,,0.8983951,0.2811584
c,1,0.889834,,,0.889834,0.3764043
z,1,0.4969684,,,0.4969684,0.9911414
x,1,0.4128055,,,0.4128055,0.6460504
v,1,0.4330131,,,0.4330131,0.6861539
c,1,0.4234204,,,0.4234204,0.7897405
z,1,0.8661298,,,0.8661298,0.6537994
x,1,0.9206359,,,0.9206359,0.5789712
v,1,0.3376139,,,0.3376139,0.5822569
c,1,1.2668027,,,1.2668027,0.8957694
z,1,0.427625,,,0.427625,0.5321632
x,1,0.9074356,,,0.9074356,0.5889684
v,1,0.8789106,,,0.8789106,0.4881788
c,1,1.0013868,,,1.0013868,0.6252716
z,1,0.7709019,,,0.7709019,0.4678835
x,1,0.5297687,,,0.5297687,0.6075338
v,1,0.4467627,,,0.4467627,0.4521557
c,1,0.4615822,,,0.4615822,0.6223191
z,1,0.5867147,,,0.5867147,0.5424285
x,1,0.5671801,,,0.5671801,0.5275518
v,1,0.7601658,,,0.7601658,0.4172554
c,1,0.9269302,,,0.9269302,0.6412511
z,1,0.4905239,,,0.4905239,0.4567873
x,1,0.4333102,,,0.4333102,0.5502334
v,1,0.3017709,,,0.3017709,0.6964296
c,1,0.2959505,,,0.2959505,0.5401151
z,1,0.1438363,,,0.1438363,1.2577181
x,1,0.2923797,,,0.2923797,0.5907732
v,1,0.2932076,,,0.2932076,0.5453174
c,1,0.2193403,,,0.2193403,0.4560145
z,1,0.2375535,,,0.2375535,0.3766362
x,1,0.3638008,,,0.3638008,0.3845413
v,1,0.3490952,,,0.3490952,0.5991455
c,1,0.3169878,,,0.3169878,0.9750131
z,1,0.3232863,,,0.3232863,0.7616142
x,1,0.4183419,,,0.4183419,0.7398812
v,1,0.3174609,,,0.3174609,0.4605614
c,1,0.3210596,,,0.3210596,0.6099969
z,1,0.3267714,,,0.3267714,0.7738836
x,1,0.5737984,,,0.5737984,0.7850937
v,1,0.3146136,,,0.3146136,0.5587924
c,1,0.31695,,,0.31695,0.5198653
z,1,0.2729167,,,0.2729167,0.9987479
x,1,0.5196889,,,0.5196889,0.6415759
v,1,0.3411797,,,0.3411797,0.7169278
c,1,0.3324015,,,0.3324015,0.6258028
z,1,0.3245663,,,0.3245663,1.0170772
x,1,0.3992217,,,0.3992217,1.8684576
v,1,0.4111907,,,0.4111907,0.7289496
c,1,0.3590355,,,0.3590355,0.541921
z,1,0.8709133,,,0.8709133,0.6001092
x,1,1.007535,,,1.007535,0.7874547
v,1,0.3961529,,,0.3961529,0.6806352
c,1,0.4650013,,,0.4650013,0.5772959
z,1,0.4159257,,,0.4159257,0.7734463
x,1,1.1272631,,,1.1272631,0.937338
v,1,0.4527666,,,0.4527666,0.5708792
c,1,0.8079195,,,0.8079195,0.4913462
z,1,0.4250421,,,0.4250421,0.5778901
x,1,0.4341965,,,0.4341965,0.7718011
v,1,0.6726254,,,0.6726254,1.4688488
c,1,0.4334267,,,0.4334267,1.3754655
z,1,0.2751044,,,0.2751044,0.4824571
x,1,0.8757768,,,0.8757768,0.7883363
v,1,0.3644605,,,0.3644605,0.4535914
c,1,0.3409261,,,0.3409261,0.7301483
z,1,0.6911587,,,0.6911587,0.8046518
x,1,0.335591,,,0.335591,0.655715
v,1,0.3366192,,,0.3366192,0.7979778
c,1,0.4743598,,,0.4743598,0.5208804
z,1,0.3330959,,,0.3330959,0.495312
x,1,0.4610082,,,0.4610082,1.3634212
v,1,0.2693201,,,0.2693201,1.0348031
c,1,0.1931977,,,0.1931977,1.2764396
z,1,0.4550538,,,0.4550538,0.8197058
x,1,0.5050936,,,0.5050936,0.7651035
v,1,0.3834631,,,0.3834631,0.4185127
c,1,1.4072171,,,1.4072171,0.6019197
z,1,0.2941029,,,0.2941029,0.4110182
x,1,1.5643026,,,1.5643026,0.6476492
v,1,0.7637386,,,0.7637386,0.8637255
c,1,1.0520898,,,1.0520898,0.554705
z,1,0.3288833,,,0.3288833,0.7253149
x,1,0.659453,,,0.659453,0.834994
v,1,0.3668125,,,0.3668125,1.2790177
z,0,0.4246719,,,0.4246719,0.6397912
z,1,0.3767528,,,0.3767528,0.851908
x,1,0.8199223,,,0.8199223,0.5638902
