key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,,
up,1,0,,1,,,,,,,,
up,0,-2,,,,1,,,,,,
up,1,0,,1,,,,,,,,
down,1,3,,,,,1,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-2,,,,,1,,,,,
down,0,0,,,1,,,,,,,
down,1,4,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
down,1,-3,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-3,,,,,1,,,,,
down,1,-2,,,,,1,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,0,-5,,,,1,,,,,,
down,0,0,,,1,,,,,,,
down,1,-2,,,,,1,,,,,
down,1,1,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,0,-3,,,,1,,,,,,
up,0,-5,,,,1,,,,,,
down,0,0,,,1,,,,,,,
down,1,-4,,,,,1,,,,,
up,0,1,,,,1,,,,,,
up,1,0,,1,,,,,,,,
down,0,0,,,1,,,,,,,
down,1,-3,,,,,1,,,,,
up,0,4,,,,1,,,,,,
up,1,0,,1,,,,,,,,
down,1,-2,,,,,1,,,,,
up,0,4,,,,1,,,,,,
down,1,4,,,,,1,,,,,
down,1,-3,,,,,1,,,,,
down,0,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
down,0,0,,1,,,,,,,,
down,1,-3,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-3,,,,,1,,,,,
up,0,2,,,,1,,,,,,
up,0,2,,,,1,,,,,,
down,0,0,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,1,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,0,0,,,1,,,,,,,
up,0,3,,,,1,,,,,,
up,0,-3,,,,1,,,,,,
up,0,2,,,,1,,,,,,
down,1,-5,,,,,1,,,,,
down,1,-5,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,-4,,,,,1,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,0,-4,,,,1,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,-4,,,,,1,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
down,1,4,,,,,1,,,,,
down,0,0,,,1,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,1,0,,1,,,,,,,,
up,0,3,,,,1,,,,,,
down,1,1,,,,,1,,,,response yes,response no
down,1,-4,,,,,1,,,signal present,40,10
up,1,0,,1,,,,,,signal absent,17,33
down,1,-5,,,,,1,,,,,
up,1,0,,1,,,,,,,prop hit,0.8
up,1,0,,1,,,,,,,prop fa,0.34
down,0,0,,,1,,,,,,,
up,1,0,,1,,,,,,,d prime,1.254084363
up,0,3,,,,,1,,,,c,-0.214579052
down,1,-4,,,,,1,,,,,
down,0,0,,,1,,,,,,,
up,0,-3,,,,1,,,,,,
down,1,4,,,,,1,,,,,
down,1,2,,,,,1,,,,,
down,1,-2,,,,,1,,,,,
down,0,0,,,1,,,,,,,
,,,sum,40,10,17,33,,,,,
